session_num,session_label,session_summary
1,Session 1,"Introductions of group leaders and members, orientation to the 12-week parent stress and health group, and review of group rules including confidentiality, phone use, attendance, and bringing the binder each week. Participants are introduced to the program structure, the role of mindfulness in stress reduction, the connection between stress, health, nutrition, and physical activity, and the expectation of home practice. The session focuses on identifying stressors, noticing sensations, emotions, urges or behaviors, and thoughts, understanding how stress affects health and parenting, and using the 'brain in your hand' model to explain reactivity and self-regulation. A guided breathing exercise introduces mindfulness practice. The nutrition and physical activity component reviews Fitbit use, step goals, SMART goals, and the upcoming 12 weeks of nutrition topics. Homework includes noticing weekly stressors, where stress is felt in the body, stress responses, and aiming for 8,000 steps per day."
2,Session 2,"Review of last week's stress homework, including noticing stressors, bodily sensations, reactions, and the four stress buckets of experience: sensations, behaviors or urges, thoughts, and emotions. The session deepens the definition of mindfulness as paying attention on purpose, in the present moment, and non-judgmentally; explores stress, autopilot, habitual stress reactions, and monkey mind; and introduces the stress reaction cycle, reacting versus responding, and the STOP skill as a practical mindfulness tool. Experiential practice includes a brief standing stretch, the raisin activity to illustrate mindful eating and focused attention, and a guided breathing exercise that shifts attention across different parts of the body. Homework emphasizes completing the Buckets of Experience worksheet and eating one food mindfully each day using the 9 tips for mindful eating. The nutrition and physical activity component focuses on sugar-sweetened beverages, calculating sugar content, water and milk as healthier choices, beverage-related goals, and continued Fitbit step goals and SMART goal tracking."
3,Session 3,"Review of homework and continued discussion of autopilot, mindfulness, and the four components of experience. The session focuses on mindful eating as an applied mindfulness practice, including a guided mindfulness eating exercise, review of hints and suggestions for mindful eating, and discussion of the seven types of hunger: eye, nose, mouth, stomach, cellular, mind, and heart hunger. Participants are encouraged to notice how different hunger cues shape cravings, food choices, and eating habits, and to take a nonjudgmental stance toward their eating patterns. Experiential practice includes a brief stretch and a body scan exercise to build awareness of tension, bodily sensations, and wandering attention. Homework emphasizes tracking how the seven types of hunger affect eating habits, preparing one visually appealing meal per day, and setting one SMART goal related to mindfulness, nutrition, and or physical activity. The nutrition and physical activity component focuses on healthy food choices using the GO, SLOW, and WHOA framework, how food preparation changes food quality, and national physical activity recommendations for adults and children."
4,Session 4,"Review of homework about the seven types of hunger, visually appealing meals, and SMART goals, followed by continued mindfulness practice through a body scan and a seated yoga exercise. The session focuses on stress and unpleasant events, emotional reactivity and its impact on others, especially a young child, and using mindfulness to notice thoughts, feelings, bodily sensations, and mood without getting caught up in them. Participants are introduced to the role of pleasant activities as a stress-coping strategy, discuss what they find enjoyable or relaxing, and are encouraged to plan one mindful pleasant activity for themselves during the coming week while tracking both pleasant and unpleasant events. Homework emphasizes completing pleasant and unpleasant events calendars and paying attention to the difference between serving sizes and portion sizes. The nutrition and physical activity component focuses on portion distortion, serving size versus portion size, MyPlate guidance, practical portion-control strategies, and continued discussion of physical activity goals."
5,Session 5,"Review of pleasant and unpleasant events homework and discussion of how intentionally engaging in pleasant activities affects mood, stress, and self-care. The session focuses on parenting-related stress, the difference between reacting and responding, and how mindfulness can help parents notice bodily sensations, thoughts, feelings, and urges so they can slow down and respond more deliberately to their child rather than react automatically. Participants discuss common parenting stressors, the impact of reacting versus responding on both parent and child, and practice mindfulness through a sound meditation and a pleasant-events guided imagery exercise. Homework emphasizes completing a parenting reactions and responses log and noticing micronutrients on food labels and their benefits. The nutrition and physical activity component focuses on calories, macronutrients and micronutrients, balanced eating, and involving the family in physical activity goals."
6,Session 6,"Review of reacting versus responding homework with emphasis on parenting triggers, negative emotions, and the role of stress in how parents communicate and behave with their children. The session focuses on communication as a source of stress and a target for mindfulness, including awareness of thoughts, feelings, sensations, and urges during difficult conversations; the difference between passive, aggressive, passive-aggressive, and assertive communication; and how mindful attention can support clearer, more intentional responses rather than reactive communication. Experiential practice includes a singing bowl meditation and a standing body scan to build attention to sound, movement, bodily sensations, and changing internal states. Homework emphasizes completing a communication calendar, setting a SMART goal for breakfast, and setting SMART goals for physical activity. The nutrition and physical activity component focuses on breakfast habits, barriers to eating breakfast, the benefits of breakfast, family activity goals, and the use of SMART and FITT principles to set exercise goals."
7,Session 7,"Review of communication homework and guided reflection on a difficult communication experience, followed by a stressful-experience imagery exercise that helps participants notice thoughts, feelings, sensations, and urges while remaining present with distress instead of pulling away. The session deepens mindfulness practice by introducing the seven attitudes of mindfulness, including non-judging, patience, beginner's mind, trust, non-striving, acceptance, and letting go, and encourages participants to apply these attitudes in daily life and during stressful events. Additional experiential practice includes a lower-leg body scan. Homework emphasizes completing the seven attitudes of mindfulness checklist, keeping a mindfulness activity log, maintaining a food journal with attention to hunger, fullness, and mindfulness while eating, and writing down one traditional recipe with a healthy substitution. The nutrition and physical activity component focuses on understanding food labels, serving size, calories, fats, added sugars, percent daily value, and continued SMART and FITT physical activity goals."
8,Session 8,"Review of mindfulness attitudes, mindfulness activity logs, and food journaling, followed by discussion of stress as an iceberg, the parts of the stress experience that stay below the surface, and how parenting on autopilot differs from mindful parenting. The session focuses on mindful parenting, including noticing thoughts, feelings, sensations, and urges during parenting stress, understanding how children respond to parental stress, and using mindfulness to respond rather than react. Participants are introduced to the ONESIE framework for mindful parenting and complete experiential practice through standing yoga and a guided imagery exercise. Homework emphasizes completing a parenting journal, practicing one to two mindfulness activities per day, using mindfulness with a child daily, keeping a food journal, trying one new fruit or vegetable with a child, and setting a SMART family fitness goal. The nutrition and physical activity component focuses on healthy eating on a budget, meal planning, shopping strategies, healthy substitutions, storage and portioning, and creative family physical activity goals."
9,Session 9,"Review of mindfulness practice logs, parenting logs, and food journals, with discussion of how repeated mindfulness practice is changing participants' responses to stress, parenting, communication, and self-care. The session focuses on staying mindful during stress, observing and naming internal experiences without judgment, accepting difficult emotions, and applying mindfulness directly in parenting and communication. Participants are introduced to the Face the FEAR framework as a quick reminder to notice bodily feelings, embrace emotions, acknowledge thoughts, remember common humanity, and respond with compassion. Experiential practice includes a walking meditation and breath pacing exercise to connect movement, breathing, and awareness. Homework emphasizes completing the mindfulness activities checklist, keeping a food journal, introducing one additional fruit or vegetable per day, and continuing SMART or FITT wellness goals. The nutrition and physical activity component focuses on fruits and vegetables, colors of the rainbow, health benefits, weight management, and family-based physical activity goals."
10,Session 10,"Review of mindfulness activity practice and discussion of when, how often, and under what conditions participants use mindfulness on their own and with their children. The session focuses on acceptance as an active mindfulness process during stressful situations, including emotions such as fear, anxiety, shame, and guilt, and teaches participants to notice thoughts, feelings, sensations, and urges without judgment rather than reacting automatically. Participants are introduced to the ACCEPT framework and practice two breathing meditations that emphasize slowing the breath, tolerating discomfort, and observing urges without needing to act on them. Experiential practice also includes a mindfulness eating with choices exercise that highlights cravings, food decisions, urges, and the moment-to-moment sensory experience of eating. Homework emphasizes continuing mindfulness activity logs, keeping a food journal, and noticing cravings by identifying which foods are craved, when cravings occur, and the thoughts, feelings, sensations, and urges or behaviors that make up the craving experience. The nutrition and physical activity component focuses on healthy recipe substitutions that reduce fat, sugar, sodium, and calories while preserving flavor, along with continued SMART or FITT wellness goals and creative physical activity planning."
